"nomescomp","BAG1501","CAR1301","CAR1302","CAR1303","CCA1302","CCE1302","CGR1401","CGR1402","CGR1403","CGR1901","CGR1902","CGU1401","CGU1402","CGU1403","CGU1404","CMC1401","CMC1402","CMC1403","CMM1401","CMM1402","CMM1403","CSR1301","CSR1302","CSR1303","CSR1905","CSR1906","CSR1907","JAG1401","JAG1402","LAV1401","LAV1402","QUA1401","QUA1402","SAT1401","SAT1402","SAT1404","SAT1405","SAT1406","SLI1401","SLI1402","SLI1403","SLI1404","SLI1405","SPS1402","SPS1403","SPS1405","SPS1406","sp.grupo"
"Pimeaust","Pimelodella.australis",0,0,0,0,0,28,0,0,1,37,3,0,0,0,5,0,1,6,24,135,13,0,0,1,0,0,0,3,31,1,5,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"FG10"
"Pseuiher","Pseudobunocephalus.iheringii",0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG8"
"Pseudori","Pseudocorynopoma.doriae",0,4,22,0,0,52,61,1,4,3,40,0,0,0,0,17,10,2,31,1330,48,11,0,1,0,0,22,8,17,0,8,15,1,0,0,0,0,0,2,20,6,0,20,0,0,0,0,"FG2"
"Pseulati","Pseudohemiodon.laticeps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG17"
"Rhameria","Rhamdella.eriarcha",2,0,0,11,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG10"
"Rhamlong","Rhamdella.longiuscula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,"FG10"
"Rhamsp1","Rhamdia.sp1",2,0,0,17,0,0,0,0,0,0,0,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG12"
"Rhamsp2","Rhamdia.sp2",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,0,0,9,2,2,7,0,19,2,5,0,0,0,0,0,3,3,1,10,"FG12"
"Rineanit","Rineloricaria.anitae",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG18"
"Rinecade","Rineloricaria.cadeae",0,17,14,8,0,0,0,0,0,0,0,0,0,0,3,32,22,136,11,87,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG18"
"Rinelong","Rineloricaria.longicauda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG18"
"Rinemicr","Rineloricaria.microlepidogaster",0,20,0,9,0,0,0,0,0,0,0,26,0,29,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG1"
"Rinesang","Rineloricaria.sanga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG18"
"Rinestel","Rineloricaria.stellata",12,0,0,0,28,5,28,19,10,0,1,0,0,0,0,0,0,0,0,0,0,46,8,5,2,0,0,0,0,34,5,16,5,50,6,17,0,0,12,2,26,46,52,9,8,24,5,"FG18"
"Rinestri","Rineloricaria.strigilata",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG18"
"Rinezain","Rineloricaria.zaina",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG18"
"Scleminu1","Scleronema.cf..minutum",0,36,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG8"
"Astysp1.1","Scleronema.minutum",35,0,0,0,0,0,32,22,2,0,0,0,0,0,0,25,45,124,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,12,0,32,0,0,0,0,"FG8"
"Scleoper","Scleronema.operculatum",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,"FG8"
"Sclesp4","Scleronema.sp..4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"FG8"
"Sclesp5","Scleronema.sp..5",0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG8"
"Sclesp3","Scleronema.sp.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG8"
"Serrcall","Serrapinnus.calliurus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,"FG4"
"Steibior","Steindachnerina.biornata",1,0,0,0,0,0,4,0,0,1,5,0,0,0,0,0,1,0,0,0,0,6,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,"FG9"
"Steibrev","Steindachnerina.brevipinna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG9"
"Synbmarm","Synbranchus.marmoratus",1,3,2,0,2,10,1,0,0,0,0,0,3,0,1,7,5,19,1,1,3,5,2,2,0,7,3,8,2,0,1,2,2,0,0,2,0,0,0,4,0,2,8,0,0,0,0,"FG7"
